G4_network_standard,记录数,_id,attraction_title,back_Camera,body_color,comment_sum,forward_Camera,good_birth,good_card_support,good_name,good_weight,good_width,goods_detail12,goods_href,id,mobile_memory,手机品牌,mobile_name,moblie_system,network_standard,paras,phone_shop,photo_feature,power_size,previous_price,run_memory
VOLTE 4G通话,1,5be674db0d8c,【全网通电池模块套装版限时促销】玩乐瞬间，快乐不容错过！,1200万-1999万,无,100,500万-799万,无,双卡双待单4G,摩托罗拉（Motorola） Moto Z（XT1650-05）手机  （4G+64G） 流金黑 全网通4G 【电池模块套装】,200.00g,无,"商品毛重：200.00g,系统：安卓（Android）,前置摄像头像素：500万-799万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,电池容量：2000mAh-2999mAh,网络制式：4G LTE全网通,4G LTE网络特性：VOLTE 4G通话,",/detail/12588993517,12588993517,无,联想,摩托罗拉（Motorola）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：四核,频率：其他,",伟德手机专营店,无,2000mAh-2999mAh,￥1999.00,无
其他,1,5be674db0d8c,,2000万及以上,无,200,2000万及以上,无,4G以下网络双卡双待,锤子（smartisan） 坚果R1 手机【下单领卷立减更优惠】 炭黑色 8G+128G,450.00g,无,"商品毛重：450.00g,热点：三防手机,前置摄像头像素：2000万及以上,后置摄像头像素：2000万及以上,网络制式：4G LTE全网通,多卡支持：4G以下网络双卡双待,4G LTE网络特性：其他,",/detail/28235270263,28235270263,无,锤子,锤子（smartisan）,无,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：2400万像素,核数：八核,频率：2.8,",聚捷联盛手机旗舰店,无,无,￥4899.00,无
无,1,5be674db0d8c,送耳机+壳+支架+自拍杆，1600万前置感光镜头，人脸解锁， 购新品,1200万-1999万,无,200,1600万-1999万,无,双卡双待双4G,华为（HUAWEI） 荣耀9i 手机 全面屏 幻夜黑 全网通(4G+64G),500.00g,7,"商品毛重：500.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,多卡支持：双卡双待双4G,后置摄像头像素：1200万-1999万,电池容量：3000mAh-3999mAh,网络制式：4G LTE全网通,前置摄像头像素：1600万-1999万,",/detail/28651395795,28651395795,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：1600万像素,核数：八核,频率：以官网信息为准,",鹏瑶手机专营店,后置双摄像头,3000mAh-3999mAh,￥1599.00,无
无,1,5be674db0d8c,"特色手机 新品底价开卖！保价365天! 2.8英寸彩屏,支持触屏、热点",500万以下,红色系,200,120万以下,无,单卡单待,BIHEE 百合A3 全网通电信4G智能翻盖老人手机 红色,500.00g,8,"商品毛重：500.00g,多卡支持：单卡单待,机身厚度：普通（8.5mm以上）,网络制式：2G移动/联通,机身颜色：红色系,运行内存：2GB以下,前置摄像头像素：120万以下,机身内存：8GB,后置摄像头像素：500万以下,老人机配置：键盘，翻盖，智能机（老龄模式）,电池容量：1200mAh-1999mAh,",/detail/28208776122,28208776122,8GB,other,BIHEE,无,2G移动/联通,"后置摄像头：200万像素,前置摄像头：30万像素,核数：其他,频率：其他,",黑蜂手机通讯专营店,无,1200mAh-1999mAh,￥599.00,2GB以下
其他,1,5be674dc0d8c,"
【4000万徕卡三摄，AI智慧摄影，麒麟970智慧芯片，全面屏游戏更畅快！】购好物，来五星！爆款直降，优惠多多，


",2000万及以上,无,80,800万-1599万,中国大陆,双卡双待单4G,华为（HUAWEI） P20 Pro 全面屏徕卡三摄游戏手机移动联通电信4G手机 双卡双待 极光色 全网通 6G+128G,380.00g,7,"商品毛重：380.00g,商品产地：中国大陆,多卡支持：双卡双待单4G,拍照特点：光学变焦，智能拍照,电池容量：4000mAh-5999mAh,4G LTE网络特性：其他,热点：人工智能，人脸识别，快速充电,机身厚度：薄（7mm-8.5mm）,前置摄像头像素：800万-1599万,游戏配置：游戏模式,屏幕配置：OLED屏，符合全面屏比例,后置摄像头像素：2000万及以上,系统：安卓（Android）,网络制式：4G LTE全网通,",/detail/26723753640,26723753640,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：4000万+2000万+800万像素,前置摄像头：2400万像素,核数：八核,频率：以官方数据为准,",五星电器3C官方旗舰店,光学变焦，智能拍照,4000mAh-5999mAh,￥9999.00,无
无,1,5be674dc0d8c,送保护壳+钢化膜 内置老人桌面 爸妈操作简单易上手 ,无,无,300,无,无,双卡双待单4G,华为（HUAWEI） 荣耀6 畅玩6 智能老人手机 金色 全网通(2G+16G),200.00g,无,"商品毛重：200.00g,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,",/detail/20826938987,20826938987,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：800万像素,前置摄像头：500万像素,核数：其他,频率：以官网信息为准,",炜东通信专营店,无,无,￥599.00,无
移动4G+,1,5be674dc0d8c,【12期免息】附带自拍杆+手机壳+遥控器！先抢先得！,无,无,200,无,中国大陆,单卡单待,美图（meitu） M8s（MP1709）美少女战士 限量版 自拍美颜 全网通移动联通电信4G手机,0.8kg,无,"商品毛重：0.8kg,商品产地：中国大陆,货号：M8s,多卡支持：单卡单待,网络制式：4G LTE全网通,4G LTE网络特性：移动4G+,",/detail/29277180654,29277180654,无,美图,美图（meitu）,无,4G LTE全网通,"后置摄像头：2100万像素,前置摄像头：1200万+500万像素,核数：十核,频率：2.5GHz,",美图官方旗舰店,无,无,￥3399.00,无
无,1,5be674dc0d8c,一键手电筒，一键解锁，收音机外放，整点报时，8个快捷拨号,500万以下,无,400,无,无,单卡单待,飞利浦（PHILIPS） E133X 电信老人手机 男 女 电信版 老人手机 炫舞红,226.00g,8,"商品毛重：226.00g,系统：基础功能机系统,机身厚度：普通（8.5mm以上）,前置摄像头像素：无,多卡支持：单卡单待,后置摄像头像素：500万以下,网络制式：2G电信,老人机配置：键盘,电池容量：1200mAh-1999mAh,",/detail/27208822476,27208822476,无,飞利浦,飞利浦（PHILIPS）,基础功能机系统,2G电信,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：其他,",沃尔奇手机专营店,无,1200mAh-1999mAh,0,无
其他,1,5be674dc0d8c,【自营仓库发货】2.4英寸横屏 1600mAh电池 一键操作 老人机,500万以下,无,200,无,无,4G以下网络双卡双待,飞利浦（PHILIPS） E209J 移动联通2G 双卡双待直板按键 老人手机 皇家蓝,240.00g,8,"商品毛重：240.00g,多卡支持：4G以下网络双卡双待,机身厚度：普通（8.5mm以上）,前置摄像头像素：无,网络制式：2G移动/联通,后置摄像头像素：500万以下,电池容量：1200mAh-1999mAh,老人机配置：键盘,4G LTE网络特性：其他,",/detail/25882655123,25882655123,无,飞利浦,飞利浦（PHILIPS）,无,2G移动/联通,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：其它,",IEVEI手机旗舰店,无,1200mAh-1999mAh,￥399.00,无
无,1,5be674dc0d8c,翻盖老人机 支持移动4G卡 大音量 大字体 大按键 持久待机 老年手机 ,500万以下,黑色系,200,无,中国大陆,4G以下网络双卡双待,飞利浦（PHILIPS） E255 移动联通2G 翻盖老人手机 学生备用功能机 双卡双待 曜石黑,460.00g,8,"商品毛重：460.00g,商品产地：中国大陆,货号：飞利浦E255,多卡支持：4G以下网络双卡双待,机身厚度：普通（8.5mm以上）,网络制式：2G移动/联通,机身颜色：黑色系,运行内存：2GB以下,前置摄像头像素：无,机身内存：支持内存卡,电池容量：1200mAh以下,后置摄像头像素：500万以下,老人机配置：键盘，翻盖,系统：基础功能机系统,",/detail/16887087452,16887087452,支持内存卡,飞利浦,飞利浦（PHILIPS）,基础功能机系统,2G移动/联通,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：-,",千索贸易手机专营店,无,1200mAh以下,￥399.00,2GB以下
移动4G+,1,5be674dc0d8c,赠荣耀原装耳机线、品牌蓝牙、膜套等超值好礼！影棚级人像自拍！,2000万及以上,无,200,无,无,双卡双待双4G,华为（HUAWEI） 华为P20全网通 智能手机 极光色 6G+128G赠荣耀原装耳机线+蓝牙,450.00g,7,"商品毛重：450.00g,多卡支持：双卡双待双4G,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照，后置双摄像头,电池容量：3000mAh-3999mAh,4G LTE网络特性：移动4G+,热点：人工智能，人脸识别，快速充电,运行内存：6GB,系统：安卓（Android）,后置摄像头像素：2000万及以上,屏幕配置：符合全面屏比例,游戏配置：游戏模式,机身内存：128GB,网络制式：4G LTE全网通,",/detail/27218697633,27218697633,128GB,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：2000+1200万像素,前置摄像头：2400万像素,核数：八核,频率：其他,",OKSJ手机旗舰店,智能拍照，后置双摄像头,3000mAh-3999mAh,￥4088.00,6GB
无,1,5be674dc0d8c,原装正品！2K双曲面屏幕！麒麟960芯片！,2000万及以上,无,100,800万-1599万,无,双卡双待单4G,华为（HUAWEI） 华为Mate9 Pro 4G手机 双卡双待 琥珀金 全网通(6GB RAM+128GB ROM),500.00g,7,"商品毛重：500.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,电池容量：4000mAh-5999mAh,后置摄像头像素：2000万及以上,网络制式：4G LTE LTE-TDD/LTE-FDD移动联通双4G,",/detail/12160539505,12160539505,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE LTE-TDD/LTE-FDD移动联通双4G,"后置摄像头：1200万像素,前置摄像头：800万像素,核数：八核,频率：以官网为准,",华顶聚瑞手机旗舰店,无,4000mAh-5999mAh,￥3799.00,无
VOLTE 4G通话,1,5be674dc0d8c,"【购机享豪礼】128G可享3,6期免息，下单赠送钢化膜+手机套+数据线，前一小时送精美耳机",无,无,60,无,无,双卡双待双4G,华为（HUAWEI） 荣耀10 GT游戏加速 AIS手持夜景 AI摄影手机6GB+128GB 全网通 幻影蓝,1.0kg,无,"商品毛重：1.0kg,多卡支持：双卡双待双4G,电池容量：3000mAh-3999mAh,网络制式：4G LTE全网通,4G LTE网络特性：VOLTE 4G通话,",/detail/31244150883,31244150883,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：2400万+1600万像素,前置摄像头：2400万像素,核数：八核,频率：4×Cortex A73 2.36GHz,",乐服手机旗舰店,无,3000mAh-3999mAh,0,无
移动4G+,1,5be674dc0d8c,,2000万及以上,无,100,2000万及以上,无,双卡双待单4G,华为（HUAWEI）nova2s 移动4G+全网通 手机 曜石黑 6GB+64GB,143.00g,7,"商品毛重：143.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,拍照特点：光学变焦，智能拍照，前置闪光灯，前置双摄像头，后置双摄像头,电池容量：3000mAh-3999mAh,屏幕配置：防蓝光，符合全面屏比例,4G LTE网络特性：移动4G+,热点：人工智能，人脸识别，快速充电,后置摄像头像素：2000万及以上,前置摄像头像素：2000万及以上,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,游戏配置：游戏模式，ID差异化设计，游戏音效增强，游戏显示增强，游戏深度适配/调优,老人机配置：远程协助,",/detail/24028476402,24028476402,无,华为,华为（HUAWEI）nova2s,安卓（Android）,4G LTE全网通,"后置摄像头：2000万+1600万像素,前置摄像头：2000万+200万像素,核数：八核 + 微智核i6,频率：Mali G71MP8 1GHz,",华信通手机专营店,光学变焦，智能拍照，前置闪光灯，前置双摄像头，后置双摄像头,3000mAh-3999mAh,￥1999.00,无
其他,1,5be674dc0d8c,【热销现货低至1559元起赠好礼】金属机身/5.99英寸全面屏/6GB大内存 ,1200万-1999万,无,100,800万-1599万,无,双卡双待单4G,360手机 N7 游戏手机 石墨黑 全网通(6G + 64G),420.00g,7,"商品毛重：420.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,电池容量：4000mAh-5999mAh,4G LTE网络特性：其他,前置摄像头像素：800万-1599万,游戏配置：游戏模式,网络制式：4G LTE全网通,后置摄像头像素：1200万-1999万,屏幕配置：符合全面屏比例,多卡支持：双卡双待单4G,",/detail/27941865695,27941865695,无,360,360手机,安卓（Android）,4G LTE全网通,"后置摄像头：1600+200万像素,前置摄像头：800万像素,核数：八核,频率：4*2.2+4*1.843GHZ,",茄子手机旗舰店,后置双摄像头,4000mAh-5999mAh,￥1999.00,无
其他,1,5be674dc0d8c,,2000万及以上,无,100,1600万-1999万,无,双卡双待单4G,华为（HUAWEI） 【128G白条3期免息】荣耀8X 全网通4G智能手机 7x手机 现货速发 魅焰红 6G+64G赠荣耀原装耳机,400.00g,7,"商品毛重：400.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,网络制式：4G LTE全网通,4G LTE网络特性：其他,前置摄像头像素：1600万-1999万,后置摄像头像素：2000万及以上,多卡支持：双卡双待单4G,电池容量：3000mAh-3999mAh,",/detail/33535638416,33535638416,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：2000万像素,前置摄像头：1600万像素,核数：八核,频率：以官网信息为准,",千瑞达手机旗舰店,后置双摄像头,3000mAh-3999mAh,￥1899.00,无
无,1,5be674dd0d8c,【国行正品 购机送精美礼品】金属机身，骁龙芯片，享看又享玩！ ,1200万-1999万,无,200,500万-799万,无,双卡双待单4G,华为（HUAWEI） 畅享7 手机 黑色 移动全网通(3G + 32G ),410.00g,7,"商品毛重：410.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,前置摄像头像素：500万-799万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,网络制式：4G LTE 移动LTE-TDD,老人机配置：智能机（老龄模式）,电池容量：3000mAh-3999mAh,",/detail/26406265218,26406265218,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE 移动LTE-TDD,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：四核,频率：1.4GHz,",茄子手机旗舰店,无,3000mAh-3999mAh,￥999.00,无
无,1,5be674dd0d8c,【京东配送 】一键解锁、拨号、收音机、手电筒，支持微信QQ,500万以下,无,200,无,无,4G以下网络双卡双待,天语（K-Touch）N2 老人手机 移动联通2G老年手机 双卡双待功能机 金色,180.00g,8,"商品毛重：180.00g,多卡支持：4G以下网络双卡双待,机身厚度：普通（8.5mm以上）,网络制式：2G移动/联通,运行内存：2GB以下,前置摄像头像素：无,老人机配置：键盘,后置摄像头像素：500万以下,机身内存：支持内存卡,电池容量：1200mAh以下,",/detail/13155878966,13155878966,支持内存卡,天语,天语（K-Touch）N2,无,2G移动/联通,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：其他,",天探手机专营店,无,1200mAh以下,￥99.00,2GB以下
无,1,5be674dd0d8c,京东配送 报姓名读短信 整点报时 一键拨号一键收音机 学生手机 特色手机 ,500万以下,金色系,200,无,中国大陆,4G以下网络双卡双待,索爱 T618 移动/联通 2G 直板老人手机男 女 老年手机 奢华金,210.00g,8,"商品毛重：210.00g,商品产地：中国大陆,多卡支持：4G以下网络双卡双待,机身厚度：普通（8.5mm以上）,网络制式：2G移动/联通,机身颜色：金色系,运行内存：2GB以下,前置摄像头像素：无,机身内存：支持内存卡,电池容量：1200mAh-1999mAh,后置摄像头像素：500万以下,老人机配置：键盘,系统：基础功能机系统,",/detail/12994752753,12994752753,支持内存卡,other,索爱,基础功能机系统,2G移动/联通,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：其他,",京成日盛手机专营店,无,1200mAh-1999mAh,￥219.00,2GB以下
其他,1,5be674dd0d8c,,无,无,200,无,无,双卡双待单4G,华为（HUAWEI） 荣耀7 畅玩7 手机 全网通 金色,200.00g,无,"商品毛重：200.00g,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/28414851820,28414851820,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：四核,频率：0,",伟德手机专营店,无,无,￥699.00,无
VOLTE 4G通话,1,5be674dd0d8c,送荣耀原装耳机+吃鸡神器+钢化膜+保护套+蓝牙 ,2000万及以上,无,200,1600万-1999万,无,双卡双待双4G,华为（HUAWEI） 荣耀8x全网通手机 魅海蓝 4G+64G 送荣耀原装耳机+蓝牙,380.00g,7,"商品毛重：380.00g,多卡支持：双卡双待双4G,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,网络制式：4G LTE全网通,4G LTE网络特性：VOLTE 4G通话,前置摄像头像素：1600万-1999万,后置摄像头像素：2000万及以上,系统：安卓（Android）,屏幕配置：符合全面屏比例,",/detail/32500882690,32500882690,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：2000万像素,前置摄像头：1600万像素,核数：八核,频率：以官网信息为准,",OKSJ手机旗舰店,后置双摄像头,无,￥1699.00,无
其他,1,5be674dd0d8c,官网规定拆封激活的锤子手机只修不退换,1200万-1999万,无,100,800万-1599万,无,双卡双待单4G,锤子（smartisan） 坚果3全面屏手机 炫红色 （特别版） 4G+64GB,1.0kg,7,"商品毛重：1.0kg,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,电池容量：4000mAh-5999mAh,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/32660658964,32660658964,无,锤子,锤子（smartisan）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：800万像素,核数：八核,频率：2.0,",长宏时代手机专营店,无,4000mAh-5999mAh,￥1499.00,无
其他,1,5be674dd0d8c,,1200万-1999万,无,200,800万-1599万,无,双卡双待单4G,小米（MI） 小米5C 手机 金色 移动4G(3GB+64GB),400.00g,7,"商品毛重：400.00g,系统：安卓（Android）,拍照特点：智能拍照,网络制式：4G LTE 移动LTE-TDD,4G LTE网络特性：其他,热点：快速充电,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,机身厚度：薄（7mm-8.5mm）,电池容量：2000mAh-2999mAh,",/detail/29200070576,29200070576,无,小米,小米（MI）,安卓（Android）,4G LTE 移动LTE-TDD,"后置摄像头：1200万像素,前置摄像头：800万像素,核数：八核,频率：以官网信息为准,",华信通手机专营店,智能拍照,2000mAh-2999mAh,￥999.00,无
其他,1,5be674dd0d8c,顺丰包邮【送保护壳+防爆膜+指环支架】5.0英寸屏，1GB运存+16GB内存，骁龙芯片,500万-1199万,无,200,200万-499万,无,双卡双待单4G,中兴（ZTE） BA603  移动联通电信4G手机 全网通4G双卡双待 旭日白NFC版(2+16GB),500.00g,无,"商品毛重：500.00g,系统：安卓（Android）,前置摄像头像素：200万-499万,多卡支持：双卡双待单4G,后置摄像头像素：500万-1199万,电池容量：2000mAh-2999mAh,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/23269599586,23269599586,无,中兴,中兴（ZTE）,安卓（Android）,4G LTE全网通,"后置摄像头：500万像素,前置摄像头：200万像素,核数：四核,频率：以官网显示为准,",宇航手机专营店,无,2000mAh-2999mAh,￥699.00,无
其他,1,5be674dd0d8c,新品现货速发，5.7英寸屏，后置指纹，3300毫安大电池，后置双摄！,无,无,200,无,无,双卡双待单4G,魅族（MEIZU） 魅蓝6T手机 香槟金 4G+64G,300.00g,无,"商品毛重：300.00g,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/28685371836,28685371836,无,魅族,魅族（MEIZU）,无,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：800万像素,核数：八核,频率：已官网信息为准,",谷高数码手机专营店,无,无,0,无
无,1,5be674dd0d8c,【京东配送 新品促销】 AMOLED屏 轻薄金属机身+指纹识别 八核  全网通,1200万-1999万,无,200,500万-799万,无,双卡双待双4G,神舟（Hasee） 神舟(Hasee)X9plus 32G 全网通4G 双卡双待 手机 香槟金,400.00g,无,"商品毛重：400.00g,系统：安卓（Android）,运行内存：3GB,前置摄像头像素：500万-799万,多卡支持：双卡双待双4G,后置摄像头像素：1200万-1999万,电池容量：2000mAh-2999mAh,机身内存：32GB,网络制式：4G LTE全网通,",/detail/11830275890,11830275890,32GB,神舟（Hasee）,神舟（Hasee）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：八核,频率：1.5,",神舟手机旗舰店,无,2000mAh-2999mAh,0,3GB
其他,1,5be674dd0d8c,【京东配送，全新正品】全屏四摄 | 正反都美 | 千元旗舰,无,无,300,无,无,双卡双待单4G,华为（HUAWEI） 荣耀9青春版 全面屏手机 珠光白 全网通 3G+32G,200.00g,无,"商品毛重：200.00g,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/26530706242,26530706242,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：1300万+200万像素,核数：八核,频率：4*2.36GHz+4*1.7GHz,",伟德手机专营店,无,无,0,无
其他,1,5be674dd0d8c,,1200万-1999万,黑色系,300,500万-799万,无,双卡双待单4G,华为（HUAWEI） 畅享8e 手机 黑色 全网通 3G+32G,380.00g,7,"商品毛重：380.00g,多卡支持：双卡双待单4G,机身厚度：薄（7mm-8.5mm）,拍照特点：前置闪光灯，后置双摄像头,电池容量：3000mAh-3999mAh,4G LTE网络特性：其他,系统：安卓（Android）,运行内存：3GB,前置摄像头像素：500万-799万,游戏配置：游戏模式,机身颜色：黑色系,后置摄像头像素：1200万-1999万,机身内存：32GB,网络制式：4G LTE全网通,",/detail/25951859560,25951859560,32GB,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：200万像素,前置摄像头：500万像素,核数：八核,频率：以官网信息为准,",易道手机专营店,前置闪光灯，后置双摄像头,3000mAh-3999mAh,0,3GB
无,1,5be674de0d8c,特色手机【京东直发】大电池长待机 老人机老年人手机男 女直板手机大字体大按键大音量老年手机,无,红色系,100,无,无,无,守护宝 (上海中兴) ZTE tech L630  移动/联通2G 老人手机 学生备用功能机 典雅红,200.00g,8,"商品毛重：200.00g,运行内存：2GB以下,前置摄像头像素：无,机身厚度：普通（8.5mm以上）,后置摄像头像素：无,电池容量：1200mAh-1999mAh,机身内存：支持内存卡,机身颜色：红色系,",/detail/16242172323,16242172323,支持内存卡,中兴,守护宝,无,无,"后置摄像头：无,前置摄像头：无,核数：其他,频率：其他,",光捷达手机专营店,无,1200mAh-1999mAh,￥199.00,2GB以下
无,1,5be674de0d8c,"【京东配送】360自由翻转，2250毫安电池，持久续航 ,智能折叠！长待机中老年人翻盖手机",500万-1199万,无,300,无,无,单卡单待,联想 (lenovo) A588T 翻盖手机老人智能机双卡双待荣耀金 随机送A588t皮套,400.00g,无,"商品毛重：400.00g,多卡支持：单卡单待,前置摄像头像素：无,系统：安卓（Android）,网络制式：2G移动/联通,后置摄像头像素：500万-1199万,电池容量：2000mAh-2999mAh,",/detail/29134437406,29134437406,无,联想,联想,安卓（Android）,2G移动/联通,"后置摄像头：500万像素,前置摄像头：无,核数：四核,频率：以官网信息为准,",天域手机专营店,无,2000mAh-2999mAh,￥409.00,无
其他,1,5be674de0d8c,【官方授权】骁龙653芯片/四摄手机   送豪华自拍杆    ,无,无,100,无,无,双卡双待单4G,努比亚（nubia） 努比亚 z17minis 小牛8 黑金 全网通( 6G+64G ),0.75kg,无,"商品毛重：0.75kg,多卡支持：双卡双待单4G,电池容量：3000mAh-3999mAh,网络制式：4G LTE全网通,系统：安卓（Android）,4G LTE网络特性：其他,",/detail/17931940527,17931940527,无,中兴,努比亚（nubia）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：其他,频率：官网为准,",聚捷联盛手机旗舰店,无,3000mAh-3999mAh,￥1799.00,无
无,1,5be674de0d8c,【门店保障 极速发货】 2千万变焦双摄3D曲面玻璃八核处理器,无,无,90,800万-1599万,无,双卡双待双4G,华为（HUAWEI） 荣耀9青春版  移动联通电信4G手机 双卡双待 幻夜黑 全网通(3GB RAM+32GB ROM),430.0kg,无,"商品毛重：430.0kg,多卡支持：双卡双待双4G,前置摄像头像素：800万-1599万,网络制式：4G LTE全网通,电池容量：3000mAh-3999mAh,系统：安卓（Android）,",/detail/30584398498,30584398498,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万+200万像素,前置摄像头：1300万+200万像素,核数：八核,频率：其他,",迪信通手机旗舰店,无,3000mAh-3999mAh,￥1199.00,无
无,1,5be674de0d8c,正品保证 全国联保 ,无,无,60,800万-1599万,无,单卡单待,Apple 苹果 iPhone8/8Plus/iPhone X 移动联通4G智能手机 iPhone 8 Plus银色 全网通64G,250.00g,无,"商品毛重：250.00g,多卡支持：单卡单待,运行内存：3GB,前置摄像头像素：800万-1599万,电池容量：3000mAh-3999mAh,机身内存：64GB,网络制式：4G LTE LTE-TDD/LTE-FDD移动联通双4G,",/detail/31185073748,31185073748,64GB,苹果,Apple,无,4G LTE LTE-TDD/LTE-FDD移动联通双4G,,好东西网国际专营店,无,3000mAh-3999mAh,￥7499.00,3GB
无,1,5be674de0d8c,【送壳膜套装】畅玩7C全面屏手机！人脸识别，双摄美拍！让您更美！三卡槽！,1200万-1999万,无,200,800万-1599万,无,双卡双待单4G,华为（HUAWEI） 荣耀7C畅玩7C全面屏手机 幻夜黑 3G+32GB全网通,500.00g,无,"商品毛重：500.00g,系统：安卓（Android）,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,电池容量：3000mAh-3999mAh,后置摄像头像素：1200万-1999万,网络制式：4G LTE全网通,",/detail/30125907962,30125907962,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万+200万像素,前置摄像头：800万像素,核数：八核,频率：其他,",长宏时代手机专营店,无,3000mAh-3999mAh,0,无
无,1,5be674de0d8c,跑车手机 小汽车备用手机,500万以下,无,200,无,无,无,NEWMIND F8 移动联通 2G 儿童手机 学生迷你手机 金色,75.00g,8,"商品毛重：75.00g,系统：基础功能机系统,机身厚度：普通（8.5mm以上）,前置摄像头像素：无,老人机配置：键盘，翻盖,后置摄像头像素：500万以下,电池容量：1200mAh-1999mAh,机身内存：支持内存卡,运行内存：2GB以下,",/detail/29283689617,29283689617,支持内存卡,纽曼,NEWMIND,基础功能机系统,无,,吉丰手机专营店,无,1200mAh-1999mAh,￥89.00,2GB以下
其他,1,5be674de0d8c,"【下单立减】所有版本当天下单立减100元！
【精选服务】赠送价值138余元服务！赠送MA116原装耳机。
【华为荣耀授权经销商】【荣耀 7X 促销中】",1200万-1999万,无,60,800万-1599万,无,双卡双待单4G,华为（HUAWEI） honor/荣耀 畅玩7C全面屏手机C7智能手机官方旗舰店官网正品 铂光金 全网通3GB+32G,500.00g,7,"商品毛重：500.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,电池容量：4000mAh-5999mAh,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/32783101140,32783101140,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：800万像素,核数：八核,频率：骁龙450,",头号卖家旗舰店,无,4000mAh-5999mAh,0,无
